game_id,Date,tournament,speed,opening,moves,my_color,my_rating,opponent_id,opponent_rating,game_ending,winner,opponent_country,analysis,accuracy,inaccuracy,mistake,blunder
jgm3Grn6,2021-11-06,False,blitz,Modern Defense: Kotov Variation,d4 d6 c4 g6 Nc3 Bg7 e4 Nc6 Be3 Nf6 Nge2 O-O h3 e5 d5 Ne7 Ng3 Ne8 f4 f5 exf5 Nxf5 Nxf5 Bxf5 fxe5 Bxe5 Be2 Qh4+ Bf2 Bg3 Bxg3 Qxg3+ Kd2 Nf6 Qe1 Qf4+ Kd1 Rae8 Qd2 Qxd2+ Kxd2 Ne4+ Nxe4 Rxe4 Rhe1 Rfe8 g4 Bd7 Bd3 Rd4 Rxe8+ Bxe8 Ke3 Rxd3+ Kxd3 c6 Re1 Kf7 Rb1 cxd5 cxd5 Kf6 Kd4 Kg5 Re1 Bf7 Re3 h6 Rc3 Kh4 a3 a6 b4 b5 Re3 Bg8 Ke4 g5 Kf5 Bh7+ Ke6 Bg6 Kxd6 Be4 Ke5 Bxd5 Kxd5 h5 gxh5 Kxh5 Kc6 a5 Kxb5 axb4 Kxb4,white,2034,ps430,2011,resign,white,,0 70 26 94 72 72 43 85 71 87 40 102 75 72 94 120 62 85 -49 -53 -169 -176 -165 -175 -199 -230 -465 -486 -479 -458 -768 -772 -765 -608 -578 -548 -568 -549 -667 -335 -330 -303 -301 -22 -120 -109 -117 -116 -138 730 730 743 748 738 726 831 835 887 707 700 715 695 715 739 723 847 707 814 716 746 684 746 682 853 744 813 764 810 589 884 862 982 998 1210 1085 1837 6178 6825 ,48.0,5.0,2.0,1.0
SvDJxIcM,2021-11-04,True,blitz,"Grünfeld Defense: Exchange Variation, Classical Variation",d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Be3 Nc6 Ne2 cxd4 cxd4 Qa5+ Qd2 Qxd2+ Kxd2 O-O Rhd1 b6 Ke1 Rd8 Rac1 Bb7 d5 Na5 Bd3 Rac8 Rxc8 Rxc8 Bd4 Nc4 Bxg7 Kxg7 Rc1 Nd6 Rxc8 Nxc8 Nd4 Nd6 f3 Kf6 Ke2 e6 dxe6 fxe6 Ke3 e5 Nb5 Nxb5 Bxb5 a6 Bc4 b5 Bd5 Bc8 h3 h6 h4 g5 hxg5+ hxg5 g4 Ke7 Kd3 Kd6 Kc3 Kc5 a3 a5 Ba2 b4+ axb4+ axb4+ Kd3 Ba6+ Ke3 Bc4 Bb1 b3 Kd2 Kb4 Kd1 Kc3 Kc1 Be2 f4 b2#,white,2002,mwafakalhaswa,2017,mate,black,,,,,,
SVDjQfRi,2021-11-04,True,blitz,Pirc Defense,e4 d6 Nc3 Nf6 Bc4 Nbd7 d4 e5 Nf3 Be7 dxe5 dxe5 O-O c6 Qe2 b5 Nxb5 cxb5 Bxb5 Qc7 Rd1 O-O Bg5 Bb7 Bxd7 Nxd7 Bxe7 Rfe8 Bd6 Qc6 Ba3 Rac8 Rd2 Nf6 Rad1 Nxe4 Rd7 Ng5 R7d5 Nxf3+ Qxf3 Qe6 Qd3 Bxd5 Qxd5 Qxd5 Rxd5 Rxc2 h3 e4 Rd7 Ra8 h4 Rcc8 Re7 Re8,black,2012,aquietman001,1915,outoftime,black,,,,,,
iPUh4MPl,2021-11-01,True,blitz,Pirc Defense,e4 d6 Bc4 Nf6 Qe2 Nbd7 d4 e5 d5 Be7 Nf3 Nc5 Nc3 a6 a3 Bg4 h3 Bc8 Be3 Ncd7 O-O b5 Bb3 O-O Qd2 Nc5 Bxc5 dxc5 Rfe1 Bd6 Nd1 c4 Ba2 Bb7 c3 Qd7 Rc1 Rad8 Bb1 Rfe8 Ne3 c6 dxc6 Bxc6 Nf5 Bf8 Qg5 g6 Qxf6 Re6 Qg5 f6 Qg3 Kh8 Ne3 Rd6 Rcd1 Rxd1 Rxd1 Qc7 Nd5 Bxd5 exd5 Qc5 Be4 Bg7 d6 Rxd6 Rxd6 Qxd6 Ne1 f5 Bb7 a5 Qe3 b4 axb4 axb4 cxb4 Qxb4 Bd5 Bf6 Nf3 e4 Nh2 Qxb2 Qa7 c3 Qa8+ Kg7 Qg8+ Kh6 Qf8+ Bg7 Qc5 c2 Ng4+ Kg5 Qe3+ Kh5 Qg3 c1=Q+ Kh2,black,2018,klsani2065,2024,outoftime,white,,,,,,
fqIARD28,2021-11-01,True,blitz,King's Indian Defense: Makogonov Variation,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 h3 O-O Nge2 c5 d5 Qa5 Bd2 Qb4 Ng3 Nfd7 Rb1 Qb6 Be2 Ne5 O-O f5 exf5 Bxf5 Nxf5 Rxf5 a4 Nbd7 Nb5 a6 a5 Qd8 Na3 b6 axb6 Nxb6 b4 Qc7 b5 a5 Bg4 Nxg4 hxg4 Rf7 Qc2 a4 Bc3 Raf8 Bxg7 Kxg7 Qe2 Qd7 Rbe1 Kg8 f3 Qe8 g3 Kh8 Kg2 Rg8 Qe6 Rgg7 Re3 Qd7 Rh1 Qxe6 Rxe6 Rf6 Rhe1 Rxe6 Rxe6 Rf7 Re2 Kg7 f4 Kf6 Kf3 h6 Re4 Kg7 Re2 Kf8 Re6 Kg7 Ke4 g5 f5 Kf8 Kf3 Rh7 Rg6 Kf7 Ke4 Nd7 Re6 Nf6+ Kf3 h5 b6 hxg4+ Kg2 Rh3 b7 Nd7 Nb5 Rh8 Re2 Rb8 Ra2 Rxb7 Rxa4 Nb6 Ra7 Rxa7 Nxa7 Nxc4 Nb5 Ne3+ Kf2 Nxd5 Na3 Kf6 Nc4 Kxf5 Nb6 Ke4 Nd7 Nc3 Nf8 Nd1+ Ke2 Nc3+ Kf2 Nd5 Ne6 Kf5 Ng7+ Kf6 Nh5+ Kf5 Ng7+ Ke5 Ne8 c4 Ng7 c3 Ke2 Kd4 Nf5+ Kc4 Nh6 Kd4 Nxg4 Nb4 Kd1 Kd3 Nf2+ Kc4 Ne4 Kb3 Kc1 g4 Nf2 e5 Nxg4 e4 Ne3 d5 g4 d4 g5 d3 g6 d2+ Kd1 c2+ Nxc2 Nxc2 g7 Ne3+ Kxd2 Nc4+ Ke2 e3 g8=Q Kc3 Qg7+ Kc2 Qc7 Kb3 Qd8 Ne5 Qb8+ Kc4 Qxe5 Kb3 Qxe3+ Kc4 Kd2 Kb4 Qc3+ Kb5 Kc2 Kb6 Qc4 Kb7 Kc3 Kb6 Kb4 Kb7 Qc5 Kb8 Qe7 Kc8 Kb5 Kb8 Kb6 Kc8 Qc7#,white,1855,samandal,2015,mate,white,,,,,,
IuuLU150,2021-11-01,True,blitz,Pirc Defense,e4 d6 d4 Nf6 Bd3 Nbd7 f3 e5 d5 Be7 Ne2 c6 c4 b5 cxb5 cxd5 O-O dxe4 fxe4 Nc5 Nbc3 Bb7 Ng3 Rc8 Bc2 O-O b4 Ne6 Nce2 Qb6+ Kh1 Qxb5 Nf5 Qd7 Neg3 Rfe8 Nxe7+ Rxe7 Nf5 Ree8 Nxd6 Red8 Nxc8 Qxd1 Rxd1 Rxd1+ Bxd1 Bxc8 Bf3 Nd4 Bg5 Nd7 a4 f6 Be3 Nc2 Rc1 Nxe3 Rxc8+ Kf7 Rc7 Ke6 Rxa7 Nc4 a5 Nd6 Ra6 Nb8 Rb6 Nd7 Rc6 Nb8 Rc7 Nf7 Bg4+ f5 Bxf5+ Kf6 Bxh7 g5 Bg8 Nd6 b5 Nxe4 a6 Nd6 a7,black,2020,omarlamn005,2029,resign,white,,,,,,
lmWE4bZ7,2021-11-01,True,blitz,"Queen's Gambit Accepted: Central Variation, Alekhine System",d4 d5 c4 dxc4 e4 Nf6 Nc3 e6 Bxc4 Bb4 e5 Bxc3+ bxc3 Ne4 Qd3 Ng5 Ba3 Nd7 f4 c6 fxg5 b5 Bb3 Nxe5 Qe4 Ng6 Qxc6+ Bd7 Qe4 Qa5 Bb4 Qc7 Nf3 a5 Qxa8+ Bc8 Bc5 Nf4 Qa7 Bb7 O-O Ne2+ Kh1 Nf4 Qb6 Qb8 Bd6 Qc8 Bxf4 O-O Qc5 Qa8 Bd6 Rc8 Qxb5 Bxf3 Rxf3 a4 Qxa4 Qe4 Raf1 Qg6 Bf4,white,1774,hassansadki10,2018,outoftime,white,,,,,,
m9GdTXZo,2021-11-01,False,blitz,Slav Defense: Exchange Variation,d4 d5 c4 c6 cxd5 cxd5 Nc3 Nf6 Bg5 Bg4 f3 Bh5 g4 Bg6 h4 h6 Bxf6 gxf6 e3 e6 Nge2 Nc6 h5 Bh7 Nc1 Qb6 Qb3 Qxb3 Nxb3 Nb4 Kf2 Bd6 Be2 O-O a3 Nc6 Rac1 a6 Na4 Rac8 Nac5 Rc7 Rc3 Ra8 Rhc1 Ne7 Bd3 Bxd3 Nxd3 Rxc3 Rxc3 Rc8 Rxc8+ Nxc8 Ndc5 Bxc5 Nxc5 Nd6 b3 a5 a4 b6 Nd7 Nc8 Nxf6+ Kg7 Nd7 f5 Ke2 fxg4 fxg4 Kf7 Ne5+ Kf6 Kf3 Kg5 e4 dxe4+ Kxe4 Ne7 Kf3 Kf6 Nc4 Nc6 Ke4 Kg5 Nxb6 Kxg4 d5 exd5+ Kxd5 Nb4+ Kc4 Kxh5 Nd5 Nc6 b4 axb4 Nxb4 Na5+ Kb5 Nb3 Nd5 Kg4 Nf6+ Kg5 Ne4+ Kf4 Nf6 Kg5 Nh7+ Kg6 Nf8+ Kf7 Nd7 h5 Ne5+ Ke6 Nf3 Kf5 Kb4 Kf4 Ng1,white,2035,ck20,2012,outoftime,white,,,,,,
cvYRG6xs,2021-11-01,False,blitz,Rat Defense: Harmonist,e4 d6 f4 Nf6 d3 Nbd7 Be2 g6 Nf3 Bg7 h4 e5 f5 c6 Bg5 Qc7 Nc3 d5 Qd2 Nb6 O-O-O d4 Nb1 Bd7 h5 Nxh5 Rxh5 gxh5 f6 Bf8 Na3 O-O-O Bh4 Bd6 Bg3 Bg4 Ng5 Rdg8 Bxg4+ hxg4 Bh4 h6 Ne6 fxe6 Rf1 Rf8 f7 Rxf7 Rxf7 Qxf7,black,2006,ishallwooopyoass,1970,resign,black,,,,,,
5lMES4mO,2021-11-01,False,blitz,"Queen's Gambit Accepted: Central Variation, Modern Defense",d4 d5 c4 dxc4 e4 Nc6 Nf3 Bg4 d5 Bxf3 Qxf3 Ne5 Qc3 Nd3+ Bxd3 cxd3 Qxd3 Nf6 O-O e6 Rd1 exd5 exd5 Bd6 Bg5 O-O Nc3 h6 Bh4 Be7 Qc4 a6 Rac1 Nh7 Bxe7 Qxe7 Ne4 Rac8 Qd3 Nf6 Nc5 Rfd8 Nxb7 Rd7 Qxa6 Rxd5 Nc5 Rxd1+ Rxd1 Qxc5 Qxc8+ Kh7 Qd8 Qc2 Rd2 Qc1+ Rd1 Qxb2 Qd3+ Kh8 a4 Ng4 Qf3 Nf6 h3 Qa2 Rd8+ Kh7 Qd3+ g6 Qd4 Kg7 Ra8 Qa3 a5 c5 Qc3 Qxc3,white,2023,izanabaru,2012,resign,black,,,,,,
